Lexema: '''
	Seccion de
	Datos
''' Tipo: comentarioMl Linea: 5 Columna: 4
Lexema: ( Tipo: parA Linea: 40 Columna: 19
Lexema: /***** ***** ***** Conteo ***** ***** *****\ Tipo: cadena Linea: 40 Columna: 65
Lexema: ) Tipo: parC Linea: 40 Columna: 66
Lexema: ; Tipo: puntoComa Linea: 40 Columna: 67
Lexema: conteo Tipo: conteo Linea: 41 Columna: 7
Lexema: ( Tipo: parA Linea: 41 Columna: 7
Lexema: ) Tipo: parC Linea: 41 Columna: 8
Lexema: ; Tipo: puntoComa Linea: 41 Columna: 9
Lexema: # Promedio Tipo: comentarioLn Linea: 43 Columna: 11
Lexema: imprimirln Tipo: imprimirln Linea: 44 Columna: 21
Lexema: ( Tipo: parA Linea: 44 Columna: 21
Lexema: /***** ***** ***** Promedio ***** ***** *****\ Tipo: cadena Linea: 44 Columna: 69
Lexema: ) Tipo: parC Linea: 44 Columna: 70
Lexema: ; Tipo: puntoComa Linea: 44 Columna: 71
Lexema: promedio Tipo: promedio Linea: 45 Columna: 9
Lexema: ( Tipo: parA Linea: 45 Columna: 9
Lexema: stock Tipo: cadena Linea: 45 Columna: 16
Lexema: ) Tipo: parC Linea: 45 Columna: 17
Lexema: ; Tipo: puntoComa Linea: 45 Columna: 18
Lexema: # Contar si Tipo: comentarioLn Linea: 47 Columna: 12
Lexema: imprimirln Tipo: imprimirln Linea: 48 Columna: 22
Lexema: ( Tipo: parA Linea: 48 Columna: 22
Lexema: /***** ***** ***** Contar si ***** ***** *****\ Tipo: cadena Linea: 48 Columna: 71
Lexema: ) Tipo: parC Linea: 48 Columna: 72
Lexema: ; Tipo: puntoComa Linea: 48 Columna: 73
Lexema: contarsi Tipo: contarsi Linea: 49 Columna: 9
Lexema: ( Tipo: parA Linea: 49 Columna: 9
Lexema: producto Tipo: cadena Linea: 49 Columna: 19
Lexema: , Tipo: coma Linea: 49 Columna: 20
Lexema: Salsa Tipo: cadena Linea: 49 Columna: 28
Lexema: ) Tipo: parC Linea: 49 Columna: 29
Lexema: ; Tipo: puntoComa Linea: 49 Columna: 30
Lexema: contarsi Tipo: contarsi Linea: 50 Columna: 9
Lexema: ( Tipo: parA Linea: 50 Columna: 9
Lexema: stock Tipo: cadena Linea: 50 Columna: 16
Lexema: , Tipo: coma Linea: 50 Columna: 17
Lexema: 1 Tipo: entero Linea: 50 Columna: 20
Lexema: ) Tipo: parC Linea: 50 Columna: 20
Lexema: ; Tipo: puntoComa Linea: 50 Columna: 21
Lexema: contarsi Tipo: contarsi Linea: 51 Columna: 9
Lexema: ( Tipo: parA Linea: 51 Columna: 9
Lexema: stock Tipo: cadena Linea: 51 Columna: 16
Lexema: , Tipo: coma Linea: 51 Columna: 17
Lexema: 2 Tipo: entero Linea: 51 Columna: 20
Lexema: ) Tipo: parC Linea: 51 Columna: 20
Lexema: ; Tipo: puntoComa Linea: 51 Columna: 21
Lexema: # Datos Tipo: comentarioLn Linea: 53 Columna: 8
Lexema: imprimirln Tipo: imprimirln Linea: 54 Columna: 18
Lexema: ( Tipo: parA Linea: 54 Columna: 18
Lexema: /***** ***** ***** Datos ***** ***** *****\ Tipo: cadena Linea: 54 Columna: 63
Lexema: ) Tipo: parC Linea: 54 Columna: 64
Lexema: ; Tipo: puntoComa Linea: 54 Columna: 65
Lexema: datos Tipo: datos Linea: 55 Columna: 6
Lexema: ( Tipo: parA Linea: 55 Columna: 6
Lexema: ) Tipo: parC Linea: 55 Columna: 7
Lexema: ; Tipo: puntoComa Linea: 55 Columna: 8
Lexema: # Sumar Tipo: comentarioLn Linea: 57 Columna: 8
Lexema: imprimirln Tipo: imprimirln Linea: 58 Columna: 18
Lexema: ( Tipo: parA Linea: 58 Columna: 18
Lexema: /***** ***** ***** Sumar ***** ***** *****\ Tipo: cadena Linea: 58 Columna: 63
Lexema: ) Tipo: parC Linea: 58 Columna: 64
Lexema: ; Tipo: puntoComa Linea: 58 Columna: 65
Lexema: sumar Tipo: sumar Linea: 59 Columna: 6
Lexema: ( Tipo: parA Linea: 59 Columna: 6
Lexema: stock Tipo: cadena Linea: 59 Columna: 13
Lexema: ) Tipo: parC Linea: 59 Columna: 14
Lexema: ; Tipo: puntoComa Linea: 59 Columna: 15
Lexema: # Max Tipo: comentarioLn Linea: 61 Columna: 6
Lexema: imprimirln Tipo: imprimirln Linea: 62 Columna: 16
Lexema: ( Tipo: parA Linea: 62 Columna: 16
Lexema: /***** ***** ***** Maximo ***** ***** *****\ Tipo: cadena Linea: 62 Columna: 62
Lexema: ) Tipo: parC Linea: 62 Columna: 63
Lexema: ; Tipo: puntoComa Linea: 62 Columna: 64
Lexema: max Tipo: max Linea: 63 Columna: 4
Lexema: ( Tipo: parA Linea: 63 Columna: 4
Lexema: precio_venta Tipo: cadena Linea: 63 Columna: 18
Lexema: ) Tipo: parC Linea: 63 Columna: 19
Lexema: ; Tipo: puntoComa Linea: 63 Columna: 20
Lexema: # Min Tipo: comentarioLn Linea: 65 Columna: 6
Lexema: imprimirln Tipo: imprimirln Linea: 66 Columna: 16
Lexema: ( Tipo: parA Linea: 66 Columna: 16
Lexema: /***** ***** ***** Minimo ***** ***** *****\ Tipo: cadena Linea: 66 Columna: 62
Lexema: ) Tipo: parC Linea: 66 Columna: 63
Lexema: ; Tipo: puntoComa Linea: 66 Columna: 64
Lexema: min Tipo: min Linea: 67 Columna: 4
Lexema: ( Tipo: parA Linea: 67 Columna: 4
Lexema: precio_compra Tipo: cadena Linea: 67 Columna: 19
Lexema: ) Tipo: parC Linea: 67 Columna: 20
Lexema: ; Tipo: puntoComa Linea: 67 Columna: 21
Lexema: $ Tipo: EOF Linea: 69 Columna: 1
